protein,mean_orig,mean_ko,diff
PTTG1IP,0.12153113,0.38824335,0.26671222
PEX16,-0.06456856,0.20230344,0.266872
TMEM167A,-0.09001771,0.17693424,0.26695195
SUGP1,-0.059515875,0.2074814,0.26699728
ICAM2,-0.06316556,0.20387232,0.26703787
HNRNPH2,0.00695753,0.27405134,0.2670938
BOLA3,-0.085556,0.1816601,0.2672161
HMGA1,-0.024073415,0.24378882,0.26786223
ERN2,0.052137125,0.32014358,0.26800644
IGBP1,-0.061205294,0.20702271,0.268228
TTC27,-0.09663742,0.17175527,0.26839268
RFX5,-0.15607964,0.11258341,0.26866305
CANX,0.058407936,0.32719725,0.26878932
MED26,-0.07148497,0.19746383,0.2689488
RSPRY1,0.013548622,0.2825772,0.26902857
PNO1,-0.039059274,0.23000944,0.26906872
IL6ST,-0.002567806,0.26661566,0.26918346
F11R,-0.042242277,0.22694302,0.2691853
IDH3B,0.03824931,0.3075776,0.2693283
HSP90AB1,-0.090167224,0.17932306,0.2694903
GRPEL1,-0.043777406,0.22582844,0.26960585
GGA3,0.043773957,0.3135914,0.26981744
DNAJC21,-0.002494615,0.26740113,0.26989573
RGS19,-0.004599521,0.2655154,0.2701149
UBASH3B,-0.12909654,0.14115421,0.27025074
SFN,0.008320304,0.27875784,0.27043754
TMSB10,0.026888477,0.29768538,0.2707969
PDLIM1,-0.0343005,0.23675711,0.2710576
KRT23,0.07313892,0.34420604,0.2710671
PSME1,-0.07090948,0.20031328,0.27122277
GLS,-0.010275907,0.26095572,0.27123162
FAM114A2,0.04935278,0.32080367,0.27145088
SYNGR2,-0.044843584,0.22670479,0.2715484
SCO2,-0.10955295,0.16215771,0.27171066
XPR1,0.029242564,0.30110246,0.27185988
TIMM10B,-0.04103571,0.23098265,0.27201837
SSR3,0.03373162,0.30589613,0.27216452
RAB1C,0.064423695,0.33694294,0.27251923
CCN1,0.024673946,0.2981668,0.27349287
CLPP,-0.13634752,0.13738512,0.27373263
CYCS,0.021103919,0.29488632,0.2737824
ASNS,-0.07849194,0.19536225,0.2738542
CSNK1D,0.06649121,0.34039026,0.27389905
CD9,0.07567369,0.34965745,0.27398375
CDC123,-0.011475448,0.26309106,0.2745665
ACADSB,-0.020023968,0.25454512,0.2745691
LMBRD2,0.00149177,0.2761478,0.27465603
CLTC,0.09683916,0.37200305,0.2751639
EPHA2,0.11125341,0.38658628,0.27533287
NSFL1C,0.018731413,0.29410738,0.27537596
GFUS,0.010194418,0.28560695,0.27541253
SCPEP1,-0.04456235,0.23091146,0.2754738
PFDN1,0.013440169,0.2892213,0.27578112
UCHL3,-0.026879335,0.24928072,0.27616006
ARHGAP45,-0.15833597,0.11804015,0.27637613
MTFP1,-0.06789668,0.20868441,0.2765811
THSD7A,-0.02056871,0.25604004,0.27660874
RAB27B,0.019976322,0.29673627,0.27675995
RAPGEF4,0.015409454,0.29226726,0.27685782
HDGF,-0.025128774,0.25204447,0.27717325
CGN,0.03314886,0.31041953,0.27727067
RTN4RL2,-0.12328086,0.1542709,0.27755177
EPPK1,0.038777273,0.3163531,0.27757585
ARPIN,-0.030074231,0.2478022,0.27787644
ABT1,-0.0731698,0.2049293,0.27809912
ASB2,0.07788326,0.35599813,0.27811486
UGP2,0.024043333,0.30327162,0.2792283
ITGA3,0.116118886,0.3959912,0.27987233
FXN,-0.14041121,0.14001694,0.28042817
TPST1,-0.010821902,0.26990008,0.280722
AP1M1,0.07019923,0.35101104,0.28081182
RAB1B,0.023779342,0.3048963,0.28111696
NAA10,0.002171101,0.2833296,0.2811585
CHURC1,0.001283715,0.28265503,0.28137133
ABCB7,-0.037200615,0.24418278,0.2813834
PROCR,0.08806289,0.36977702,0.28171414
TRPS1,0.01717218,0.29890567,0.28173348
DPP3,-0.021885289,0.2599674,0.28185266
TNFRSF10A,0.003571223,0.2857118,0.28214058
ZSWIM8,-0.052829955,0.22934455,0.2821745
MUL1,0.036856227,0.3197462,0.28288996
NMI,0.044799913,0.3277272,0.28292727
UNC45A,-0.010841079,0.2722824,0.28312346
VPS4B,-0.1576999,0.12559254,0.28329244
PSRC1,0.033730697,0.3170411,0.2833104
MFF,-0.04683616,0.23698367,0.28381982
XYLT2,-0.011154728,0.27267927,0.283834
MESD,0.10416569,0.38808462,0.28391892
MRPS21,0.06604941,0.34998864,0.28393924
CRYZ,0.073778845,0.35777518,0.28399634
ERICH1,-0.13473071,0.14928286,0.28401357
HSPA4L,-0.039606478,0.24442379,0.28403026
MTMR14,-0.050243504,0.23380622,0.28404972
ATP11A,0.04236232,0.326895,0.28453267
RASA1,-0.08769933,0.19687524,0.28457457
BCL9L,0.18848775,0.47307625,0.28458852
EIF3C,0.032497354,0.31723154,0.2847342
STRIP1,0.02010432,0.30509612,0.2849918
SOX6,-0.106833644,0.17817582,0.28500947
CNDP2,-0.0694851,0.21558146,0.28506655
EVPL,0.09054742,0.37577453,0.28522712
MPZL1,-0.033465706,0.251793,0.2852587
CDC42EP2,0.12706673,0.41238046,0.28531373
MAP2K7,-0.20232363,0.08424207,0.2865657
MX1,0.0632363,0.34995294,0.28671664
PBDC1,0.017380593,0.30419648,0.28681588
BAG6,-0.06886193,0.21854167,0.28740358
EPS8L2,0.079114884,0.36674863,0.28763375
SNAP23,-0.009480518,0.27841225,0.28789276
VMP1,0.020908434,0.30925515,0.2883467
