,protein,mean_orig,mean_ko,diff,p_value
1594,TLE3,0.059371937,-0.14137991,-0.20075184,0.015329568810592688
1595,NUCB2,0.119670175,-0.081034094,-0.20070428,0.028134915685419773
1596,ZADH2,-0.09412733,-0.29427528,-0.20014796,0.019191296707826266
1597,MSRA,0.033807393,-0.16627586,-0.20008326,0.01717707535732097
1598,SRP68,-0.03819871,-0.23822741,-0.2000287,0.041208511923305435
1599,HNRNPM,-0.18710983,-0.3870813,-0.19997147,0.029511292394889335
1600,GMEB1,-0.01643885,-0.21634863,-0.19990978,0.015102703581365048
1601,XPC,0.08260868,-0.11719572,-0.1998044,0.02045772933531978
1602,PRR12,-0.12189471,-0.32165676,-0.19976205,0.024104689879106026
1603,FSTL1,0.10466238,-0.09505302,-0.1997154,0.036146170262357065
1604,UBFD1,0.001527717,-0.19813186,-0.19965957,0.020782799838716292
1605,STT3B,-0.017409327,-0.21696308,-0.19955376,0.016013164228093978
1606,FYTTD1,-0.011375151,-0.21089697,-0.19952182,0.026371953317437673
1607,SMG8,-0.0029888013,-0.20241418,-0.19942538,0.01766434618016102
1608,DSC3,-0.005966211,-0.20523013,-0.19926392,0.023355090472817825
1609,TCEA3,0.019432507,-0.1798238,-0.1992563,0.02274597049819052
1610,BTAF1,-0.09216515,-0.29134956,-0.19918442,0.020044677677098683
1611,TTC4,-0.040057044,-0.23908189,-0.19902484,0.025800976292405672
1612,DKC1,-0.031669535,-0.23063144,-0.19896191,0.04899924971105815
1613,TICRR,-0.117804945,-0.31670836,-0.19890341,0.043569895763161025
1614,XRCC6,-0.05724517,-0.2560655,-0.19882032,0.02675443111758021
1615,DNTTIP1,-0.018598847,-0.21723512,-0.19863626,0.0328868114309795
1616,RAB15,0.093958326,-0.10464705,-0.19860537,0.0258409393439816
1617,YARS2,0.06053165,-0.1379757,-0.19850734,0.02325488320488244
1618,MB,0.109433904,-0.088951305,-0.19838521,0.03240425720628588
1619,PAIP1,0.032972734,-0.16536157,-0.1983343,0.053299297298351554
1620,PKN2,0.1117683,-0.086523905,-0.1982922,0.019689848698624033
1621,ZEB2,0.008974886,-0.18911624,-0.19809112,0.02482228870569911
1622,ALDH6A1,0.020073479,-0.17788033,-0.1979538,0.03931225324281379
